DP Identifier,MSCIWorldTRI,TOP40,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
Date,MSCIWorldTRI Index,TOP40 Index,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
24/06/2021,13153.39,60188.42,3.550794,3.160536,3.286146,3.479386
25/06/2021,13204.23,60140.15,3.548385,3.154779,3.282078,3.474684
28/06/2021,13205.44,59820.66,3.548999,3.160515,3.284917,3.488941
29/06/2021,13204.94,60495.83,3.563188,3.16774,3.295492,3.489549
30/06/2021,13174.28,60161.76,3.552611,3.160877,3.286779,3.475346
01/07/2021,13222.96,60476.77,3.586698,3.189209,3.317477,3.530102
02/07/2021,13302.25,60292.64,3.582832,3.187429,3.314794,3.529562
05/07/2021,13318.95,60082.2,3.578493,3.187418,3.312476,3.525648
06/07/2021,13287.98,59756.87,3.585402,3.192934,3.318659,3.531149
07/07/2021,13318.78,60705.57,3.60269,3.201477,3.33159,3.542925
08/07/2021,13201.38,59106.4,3.572184,3.185764,3.30803,3.526355
09/07/2021,13336.42,60221.84,3.580906,3.188191,3.313866,3.520789
12/07/2021,13402.59,61080.8,3.608719,3.206625,3.336877,3.555897
13/07/2021,13363.34,60943.22,3.612193,3.211025,3.340539,3.573126
14/07/2021,13361.41,61753.54,3.638354,3.225508,3.360931,3.59058
15/07/2021,13295.92,61439.11,3.619393,3.214575,3.346053,3.572155
16/07/2021,13213.49,60437.58,3.594769,3.199463,3.326295,3.547265
19/07/2021,12999.53,58795.32,3.545629,3.171969,3.287639,3.515305
20/07/2021,13132.19,59668.22,3.551891,3.174984,3.291929,3.51487
21/07/2021,13267.04,60502.39,3.582471,3.192704,3.316248,3.543465
22/07/2021,13310.94,61309.13,3.606462,3.208363,3.336276,3.565392
23/07/2021,13424.55,61932.98,3.630548,3.223931,3.356044,3.58928
26/07/2021,13459.83,61946.37,3.645842,3.240108,3.371416,3.607141
27/07/2021,13409.46,61208.33,3.622919,3.227711,3.353641,3.589787
28/07/2021,13412.26,62368.63,3.645642,3.238801,3.370762,3.60232
29/07/2021,13502.35,63394.89,3.659773,3.242241,3.379982,3.599313
30/07/2021,13413.45,62852.28,3.65526,3.242328,3.377561,3.601712
02/08/2021,13447.88,62704,3.646147,3.235249,3.369781,3.58297
